Abbrecherquote	Abbruchquote
Konsumenten	Konsumierende; Kundschaft; einkaufende / konsumierende Zielgruppe
Kontrahent	Gegenüber
Kontoinhaber (sg.)	kontoinhabende Person; kontoführende Person
Kooperationspartner (sg./pl.)	in Kooperation mit; Kooperationsbeteiligte
Koordinator	Koordination
Körperspender	Körperspende
Korrektoren	Korrigierende
Kraftfahrer (sg.)	fahrzeugführende Person
... Welche Voraussetzungen erfüllen Sie für die	... Welche Voraussetzungen erfüllen Sie für die Tätigkeit als fahrzeugführende
Tätigkeit als Kraftfahrer eines Absetzkippers?	Person eines Absetzkippers?
Kraftfahrer (pl.)	Kraftfahrzeugführende
Krankenpfleger (sg.)	Pflegefachkraft; Pflegekraft; Pflegefachperson
Krankenpfleger (pl.)	Pflegekräfte; Pflegefachpersonen; Pflegepersonal; Beschäftigte in der Krankenpflege; professionell Pflegende; Pflegende
Krankenschwester	Pflegefachkraft; Pflegekraft; Pflegefachperson
Krankenschwestern	Pflegekräfte; Pflegefachpersonen; Pflegepersonal; Beschäftigte in der Krankenpflege; professionell Pflegende; Pflegende
Kranker	kranke Person
Kreditnehmer (sg.)	kreditnehmende Person
Kreditnehmer (pl.)	Kreditnehmende
[Erster] Kreisbeigeordneter	[Erste] Kreisbeigeordnete Person
Kriegerkodex	Kodex der Kämpfenden
Kriegsverbrechertribunal	Tribunal für Kriegsverbrechen
Kriminalbeamter	Person im Beamtenverhältnis bei der Kriminalpolizei
Kritiker (pl.)	Kritisierende; Kritische; kritische Stimmen
Küchenhelfer (sg.)	Küchenhilfe
Kümmererin	fürsorgliche Person; kümmernder Mensch; fürsorgliches Teammitglied/Chormitglied/...
Kunde	Kundschaft; Klientel; kaufende Person; konsumierende Person; Mensch; Person; nutzende Person; kaufinteressierte Person; Client; Account; Dienstleistung in Anspruch nehmende Person 
Kunden	Kundschaft; Klientel; kaufende Personen; Menschen; Personen; Nutzende; Auftraggebende; Nachfrage; Zielgruppe; Kaufinteressierte; Interessiete; Kreis; Gäste; Publikum; Betroffene
Kundenauftrag	Auftrag durch Kundschaft; Auftrag
Kundenbedürfnisse	Bedürfnisse der Kundschaft
Kundenberater	Beratung der Kundschaft
... Ihr persönlicher Kundenberater	... Ihre persönliche Ansprechperson; ... Sie werden persönlich beraten von/durch ...
Kundenberatung	Beratung der Kundschaft
Kundenbetreuer	Betreuung der Kundschaft
Kundenbewertungen	Bewertungen; Bewertungssterne; Sterne-Bewertungen
Kundendienst	Service; Support
kundenfreundlich	praktisch zu bedienen; publikumsfreundlich; nutzungsfreundlich
Kundengruppe	Kundschaft [mit bestimmtem Merkmal, z.B. Kundschaft mit geringer Kaufkraft]
Kundenkontakt	Menschenkontakt; Kontakt zur Kundschaft; Kontakt
Kundenkonto	Nutzungskonto; Konto; Profil
Kundenkreis	Zielgruppe
Kundennummer	Nummer; persönliche Nummer; zugeordnete Nummer
kundenorientiert	publikumsorientiert; zielgruppenorientiert
Kundenorientierung	Publikumsorientierung; Zielgruppenorientierung
Kundenprojekt	Kundschaftsprojekt
Kundenreferenz	Referenz
Kundenservice	Service
Kundenstamm	treue Kundschaft; feste Kundschaft; Kundschaftsstamm; Klientelstamm
Kundenwerbung	Akquise
Kundenwunsch	Sonderwunsch
Kundenwünsche	Wünsche der Kundschaft; Sonderwünsche
Kundenzentrum [digital/analog]	Servicezentrum
Kundenzufriedenheit	Zufriedenheit der Kundschaft
Kunstfreunde	Kunstbegeisterte
Kunstkenner (pl.)	Kunstkennende
Künstler (sg.)	Act; kunstschaffende Person
Künstler (pl.)	Kunstschaffende
Künstlerbuch	künstlerisches Konzeptbuch
Künstlerkolonie	Kunstsiedlung
Künstlername	(künstlerisches) Pseudonym; Kunstname
Kunstsammler (pl.)	Kunstsammelnde
Kuratoren	Kuratierende; kuratorische Leitung
Kurier	überbringende Person; überbringender Lieferservice
Kursadministrator	Person, die den Kurs leitet; Kursadmin
Kursbetreuer	Kursbetreuung
Kursleiter (sg.)	Kursleitung; kursleitende Person
Kursteilnehmer (sg.)	am Kurs teilnehmende Person
Kursteilnehmer (pl.)	Kursteilnehmende; am Kurs Teilnehmende; Kurs
Kurzarbeitergeld	Kurzarbeitsgeld
Laborant	Laborfachkraft
Laborarbeiter (sg.)	Laborfachkraft
Lagerist	Lagerfachkraft; im Lager arbeitende Person
Laie	Mensch ohne Fachkenntnisse; fachunkundige Person; fachfremde Person
Laien	Fachunkundige; Fachfremde; Nichtkundige
Landnutzer	landnutzende Personen
Landrat	Landkreisleitung; Kreisverwaltungsleitung; Landratsamtsleitung; Dienststellenleitung; Amtsvorstand
Landsmänner	Landsleute
Landwirt	Landwirtschaft betreibende Person
Landwirte	Landwirtschaft Betreibende; landwirtschaftlich Beschäftigte; Beschäftigte in der Landwirtschaft
Lastkraftwagenfahrer	Lastkraftwagen fahrende Person
Läufer	laufsporttreibende Person
Lebemann	Genussmensch
Lebenspartner	Liebesmensch; Lebensmensch; verpartnerte Person
... eingetragener Lebenspartner	... erfasste verpartnerte Person; vermerkte verpartnerte Person
Lehrer (sg.)	Lehrperson; Lehrkraft
Lehrer (pl.)	Lehrkräfte; Lehrpersonen; das Kollegium; Lehrende; Unterrichtende
Lehrerberuf	Lehrberuf
Lehrerkonferenz	Kollegiumskonferenz; Konferenz; Konferenz der Lehrkräfte; Besprechung der Lehrkräfte
Lehrerpult	Tisch/Pult der Lehrkraft; Schreibtisch
Lehrerzimmer	Arbeitszimmer der Lehrkräfte; Teamraum; Kollegiumszimmer
Lehrling	Nachwuchskraft; Person in Ausbildung; auszubildende Person; lernende Person
Lehrlinge	Auszubildende; Lernende
Lehrmeister (pl.)	Ausbildende; Lehrende
Lehrstuhlinhaber (sg.)	Leitung des Lehrstuhles
Lehrstuhlinhaber (pl.)	Leitende eines Lehrstuhles
Lehrstuhlleiter (sg.)	Leitung des Lehrstuhls
Lehrstuhlleiter (pl.)	Leitende eines Lehrstuhles
Leibeigener	leibeigene Person
Leibeigene	[im Plural ist dieses Wort schon gendergerecht]
Leiharbeiternehmer (pl.)	Leiharbeitnehmende
Leistungsbezieher (pl.)	Leistung Beziehende
Leistungsempfänger (pl.)	Leistungsempfangende
Leistungsträger	refinanzierende Ämter und Behörden
Leiter (sg./pl.)	Leitung
Lektor	das Lektorat
... Anmerkungen des Lektors	... Anmerkungen des Lektorats
Lektorstelle	Lektoratsstelle
[Fahrzeug-]Lenker	Fahrzeug lenkende Person
Lernbegleiter (sg.)	lernbegleitende Person
Lerntyp	[Begriff ist schon genderneutral]
Lernender (sg.)	lernende Person
Leser (sg.)	lesende Person
... An den werten Leser	... An die werten lesenden Personen
Leser (pl.)	Lesepublikum; Leserschaft; lesende Zielgruppe; Lesende
Leserausweis	Leseausweis; Bibliotheksausweis
Leserbrief	Zuschrift / Kommentar zum Artikel xy
Leserbriefe	Ihre Kommentare/Meinungen; offene Zuschriften
leserfreundlich	lesefreundlich
Lesermarkt	Markt der Lesenden; Lesendengeschäft; Lesendenabsatz
Lieber ... [informelle Anrede bei Briefen]	An ...; Hallo ...; Guten Tag ...
Liebhaber (pl.)	Begeisterte
... Wir richten uns an Modellbauliebhaber.	... Wir richten uns an Modellbaubegeisterte.
Liedermacher (pl.)	Liederschaffende; Lieder kreierende Personen
Lieferant	Lieferfirma; lieferndes Unternehmen; Lieferunternehmen
Linguist	auf Linguistik spezialisierte Person; linguistische Fachkraft
Linker	links gesinnte Person [Anm.: Im Plural schon genderneutral.]
Linkshänder	linkshändige Person
Literaturkritiker (sg.)	Literatur kritisierende Person
Literaturkritiker (pl.)	Literaturkritisierende
Lizenznehmer (pl.)	Lizenznehmende
Lobbyist	Interessen vertretende Person
Logopäde	(medizinische) Fachkraft für Logopädie
Macher (pl.)	Aktive
Mädchen für alles	Mensch für alles
Mädchenname	Geburtsname
Magier	Zauberkunst ausübende Person
Makler (pl.)	Häuser vertreibende Personen
Maklergebühren	Gebühren; Vermittlungsgebühren
Maklerverbund	Maklerei
Maler (sg.)	Werkschaffende Person der Malerei; Wandgestaltende Person
Maler (pl.) [künstlerisch]	Werkschaffende der Malerei
man	Sie; viele; wir; ich
Manager (sg.)	Management; Unternehmensführung; Führungskraft
manch einem	manch einer Person
... Manch einem ist gar nicht klar, was er damit
... Manchen ist gar nicht klar, was sie damit anrichten.
anrichtet.
Mandant	Mandantschaft; auftraggebende Person
Mandatsträger	Mandat innehabende Person; mandatstragende Person
Manipulant	manipulierende Person
Mann ... [im Sinne von:]	Person(en) ...
... es kamen 40 Mann.	... es kamen 40 Personen / Leute.
... alle Mann an Bord!	... alle an Bord!
... Mann über Bord!	... Person über Bord!
... Der Gewinn betrug 20 Euro pro Mann.	... Der Gewinn betrug 20 Euro pro Person / Nase.
... etwas am Mann tragen	... etwas bei sich tragen
... etwas an den Mann bringen	... etwas unter die Leute bringen; etwas verkaufen; ein Anliegen loswerden
... Not am Mann	... Notsituation
... Ein-Mann-Betrieb	... Eine-Person-Betrieb
... Zwei-Mann-Zelt	... Zwei-Personen-Zelt; Zweier-Zelt
... seinen Mann stehen	... auf sich gestellt sein; sich behaupten; sich bewähren
... 3. Mann [beim Skat]	... 3. spielende Person
... 1000-Mann-Quote	... 1000-Personen-Quote
... Mann oder Maus?	... mutig oder feige?
Männchen [z.B. bei Brettspielen]	Figürchen; Spielfigur
Manndeckung [im Sport]	1:1-Verteidigung; 1:1-Deckung; personenorientierte Deckung; Direktdeckung [Gegensatz zur Raumdeckung]
mannlos	personenlos; computergesteuert; autonom; unbesetzt; selbstständig
Mannmonat	Mitarbeitendenmonat; Personenmonat
mannshoch	lebensgroß
Manntage	Arbeitstage; Leistungstage; Personentage
Mannsbild	gestandene Person; Powermensch
Mannschaft	Team; Gruppe; Kollektiv; Besatzung [bei Schiffen]
... Damenmannschaft	... Damenteam
... Frauenmannschaft	... Frauenteam
... Mädchenmannschaft	... Mädchenteam
Mannstunde	Personenstunde
Manpower	Arbeitskraft; Humanpower
Marktakteure	am Markt agierende Menschen und Institutionen
Marktschreier (pl.)	Angebotsausrufende
Masterand	studentische Stelle zur Anfertigung der Masterarbeit
Mathematiker (sg.)	mathematisch qualifizierte Person; sich mit Mathematik befassende Person
Matrose	Mitglied der Schiffsbesatzung (mit unterstem Dienstrang) u.U. zu ungenau, da z.B. auch die*der Kapitän*in Mitglied der Schiffsbesatzung ist
Mechaniker (sg.)	Fachkraft für Mechanik
Mechatroniker (sg.)	Fachkraft für Mechatronik
Mediator	Mediation; Mediationsperson; Mediation anbietende Person
Medienanbieter (pl.)	Medienorganisationen
Mediengestalter (pl.)	Mediengestaltende
Medienpartner	in Medienpartnerschaft mit ...
Mediziner (pl.)	medizinisches/ärztliches Fachpersonal; in der Medizin Tätige
Mehrbenutzerfunktion	Funktion für mehrere Nutzende; Gruppenfunktion
Meinungsführer (sg.)	meinungsführende Person
Meinungskontrahent	Meinungsgegenpart
Meister [im Handwerk]	Person mit höherer Fachprüfung
(Deutscher / Welt-) Meister	Erster Platz der Deutschen Meisterschaft / Weltmeisterschaft; Erstplatzierte (pl.)
Meisterschaft	Turnier; Wettbewerb
Meldender	meldende Person; Meldung von ... ; gemeldet durch ...
Mensch	[ist bereits genderneutral; analog zur PERSON]
Mentee	begleitete Person; beratene Person; geförderte Person; Person in Ausbildung; durch Mentoring begleitete/unterstützte Person
Mentor	Vorbild; fürsprechende Person; beratende Person; fördernde Person; Begleitung; Kontaktperson; Ansprechperson; Ausbildungsbeauftragte Person
betrieblicher Mentor	... betriebliche Mentoringperson; betriebliche Mentorperson
Mieter (sg.)	Mietperson; Mietpartei
Mieterverein	Mietverein; Mietvertretung
Migrant	Person mit Migrationshintergrund; eingewanderte Person; der/die Migrierte; Person mit internationaler Geschichte
Migranten (pl.)	Personen mit Migrationshintergrund; Eingewanderte; Zugewanderte; Migrierte; Personen mit internationaler Geschichte
Milchmädchenrechnung	Trugschluss; Irrtum; falsche Erwartung; Fehlschluss; Illusion
Minderjähriger (sg.)	Kind unter 18; minderjährige Person; nicht volljährige Person
Mindestteilnehmerzahl	Mindestanzahl Teilnehmende
Minijobber (pl.)	geringfügig Beschäftigte
Minister (sg.)	Ressortleitung
Minister (pl.)	Ressortleitende
Ministerpräsidenten	MPs; Landesoberhaupt; Vorsitz der Resortleitenden
Ministerpräsidentenkonferenz	MPK
Ministrant	Mini
Ministranten	Minis
Mitarbeiter (sg.)	Arbeitskraft; Teammitglied
Mitarbeitende; Beschäftigte; Angestellte; Tätige; Belegschaft; Teammitglieder; Arbeitskräfte; Kollegium; Personal; Teammitglieder; Werktätige; Betriebs-/Konzern-
Mitarbeiter (pl.)	/Firmen-/Unternehmensangehörige; bei uns beschäftigte Personen; Festangestellte; Arbeitsgemeinschaft; Arbeitsgruppe; Beteiligte; Crew; Gruppe; Servicekräfte;
Servicepersonal; Team
... Mitarbeiter in Teilzeit	... Teilzeitkraft
... Mitarbeiter der Hochschule / Unimitarbeiter	... Hochschulpersonal
... freiwillige Mitarbeiter eines Projektes, eines
Vereins, einer Jugendgruppe (nicht als	... Mitglieder; Helfende; Freiwillige; Unterstützende
Beschäftigte) (pl.)
Mitarbeiterausweis	Firmenausweis; Mitarbeitendenausweis; MA-Ausweis; Arbeitsausweis; Dienstausweis
Mitarbeiterbeurteilung	Personalbeurteilung; Angestelltenbeurteilung
Mitarbeiterführung	Personalmanagement; Personführung; Personalpolitik
Mitarbeitergespräch	Dienstbesprechung; Qualifikationsgespräch; Arbeitsgespräch; Beurteilungsgespräch; Jahresgespräch; Beschäftigtengespräch; Personalgespräch; Mitarbeitendengespräch
Mitarbeitermobilität	Mobilität der Mitarbeitenden; Mitarbeitendenmobilität
Mitarbeiterorientierung	orientiert an den Mitarbeitenden; Mitarbeitendenorientierung
Mitarbeiterperspektive	Perspektive der Mitarbeitenden; Perspektive der Belegschaft
Mitarbeiterrabatt	Mitarbeitendenrabatt; Unternehmensrabatt; Jobrabatt
Mitarbeiterschulung	Schulung; Schulung der Belegschaft; MA-Schulung; Schulung der Mitarbeitenden
Mitarbeitersuche	Personalsuche; Mitarbeitendensuche
Mitarbeiterstellen	Stellen für Mitarbeitende; Arbeitsplätze
Mitarbeiterverpflegung	Personalverpflegung
Mitbewerber (pl.)	die Konkurrenz
Mitbewohner (pl.)	Wohnungsteilende
Mitbürger (sg.)	Mitmensch
Mitbürger (pl.)	Landsleute; Mitmenschen; Staatsangehörige
Mitfahrergelegenheit	Mitfahrgelegenheit
Zugehörige; Angehörige; Teil von ...Mitläufer (sg.)	Folge leistende Person; involvierte Person; passives Engagement; passive Rolle; mitlaufende Person
Mitschüler (pl.)	andere Kinder aus der Klasse / Schule; Mitlernende
Mitspieler (pl.) [beim Sport]	Mitspielende
Mitstreiter (pl.)	Mitwirkende; Teilnehmende; Gleichgesinnte
Mittelsmann	Mittelsperson; Mittelsmensch
Mittelständler (pl.)	mittelständische Unternehmen; Angehörige des Mittelstandes
Mitwisser (pl.)	Eingeweihte
Moderator	Moderation; moderierende Person
Moderatoren	Moderationsteam; Moderierende
Modeschöpfer (pl.)	Mode Schaffende
Mofafahrer (pl.)	Mofa Fahrende
Mönch	Ordensperson
Mönche	Ordensleute
Montagsmaler	Montagsmalen
Monteur	montierende Person; Montagedienst
Mörder (sg.)	einen Mord begehende Person; mordende Person
Müllmann	Müll entsorgende Person; Fachkraft für Kreislauf- und Abfallwirtschaft
Müllmänner	Beschäftigte der Müllabfuhr; Müllabfuhr
Multiplikator	Person, die Informationen/Wissen weitergibt; Wissen/Informationen weitergebende Person
Münchner (pl.)	die Münchner Bevölkerung
Museologe	museumswissenschaftliches Fachpersonal
Musiker (sg.)	Act
Musiker (pl.)	Musikausübende; Musikschaffende; Musikspielende; Musizierende; Mitglieder eines Orchesters; Bandmitglieder
Muslim	Mensch muslimischen Glaubens
Musterknabe	Vorbild; Musterschulkind; Musterkind
Mutmacher	mutmachende Person; aufmunternde Person; support
Mutter	Elternteil
... Mutter-Kind-Gruppe	... Eltern-Kind-Gruppe
... Mutter-Kind-Parkplatz	… Familienparkplatz
... Mutter Natur	... Natur; (freie/unberührte) Landschaft; Erde; Schöpfung; (natürliche) Umwelt; (das) Grüne; Naturreich
Mütterberatung	Elternberatung
Mutterleib	Körper der schwangeren Person
mütterlicherseits	[vornamen-]licherseits
Muttermal	Pigmentstörung; Leberfleck
Muttermilch	Elternmilch; Brustmilch
Mutterschutz	Elternschutz
Muttersprache	Erstsprache; erste Sprache; Hauptsprache; Elternsprache; Familiensprache; Heimatsprache 
Muttersprachler	Person mit der Erstsprache XYZ; Person, die XYZ als Erstsprache spricht; xyz-erstsprachliche Person (z.B. polnisch-erstsprachliche Person)
Nachahmer (pl.)	Menschen; andere; Menschen gleicher Gesinnung
Nachbarhaus	Haus nebenan; Nebenhaus
Nachbarn	nebenan Wohnende
Nachbarn [in einem Wohnhaus] (pl.)	Hausgemeinschaft
Nachbarschaft	Umgebung
Nachfahre	Abkömmling; Kind; Kindeskinder; Enkelkinder
Nachfahren	Nachkommenschaft; Nachkommen
Nachfolger (sg.)	Nachfolge
Nachfrager (pl.)	Nachfragende
Nachlassverwalter	Nachlass verwaltende Person
Nachrücker	nachrückende Person(en)
Nächster	nächste Person
Nachtschwärmer (sg.)	Nachtmensch; Partymensch
Nachtschwärmer (pl.)	Nachtleute
Nachwuchswissenschaftler (pl.)	wissenschaftlicher Nachwuchs
Näherinnen	Nähende
Namensvetter (pl.)	Gleichnamige
Narr [Karneval]	närrische Person
Narren [Karneval]	Närrische; Karneval Feiernde; Karneval Zelebrierende; Karnefalbegeisterte
Nationalmannschaft	Nationalteam
Nationalsozialist / Nazi	rechtsextreme Person; rechtsextrem eingestellte Person
Naturbursche	Naturmensch
Nebenmann	nebenstehende Person
Neffen und Nichten	Kinder der Geschwister
Netzwerkpartner (pl.)	Netzwerkbeteiligte; Netzwerkmitglieder
Neueinsteiger (sg.)	Nachwuchs; neu im Geschäft; unerfahrene Person; Grünschnabel; Mensch ohne Vorkenntnisse
Nichtraucher	nicht rauchende Person
niemand, der ...	keine Person, die ...; kein Mensch, der ...
Nonne	Ordensperson
Nonnen	Ordensleute
Normgeber	normgebende Person
Notar	notariell arbeitende Person
Novize	Neuling; Person im Noviziat
Nutzer (sg.)	(be-)nutzende Person; Person, die ... nutzt
Nutzer (pl.)	Personen, die ... nutzen; Nutzung; Mitglieder; Nutzende
... Nutzer des Angebots werden bevorzugt.	... Wer das Angebot nutzt, wird bevorzugt.
... Wie viele Nutzer hat das Fitnessstudio?	... Wie viele Mitglieder hat das Fitnessstudio?
Nutzerdaten	(persönliche) Nutzungsdaten; Datenspuren; Daten der Nutzenden
Nutzereingabe	Eingabe; Eingabe bei Nutzung
Nutzerentgelte	Nutzungsentgelte
Nutzergemeinde	Community; Netzwerk
Nutzergruppe	mit (folgenden) Aufgaben betrauter/arbeitender Personenkreis; Nutzungsgruppe
Nutzerhandbuch	Handbuch; Nutzungshandbuch
Nutzerkonto	Account; Konto; Zugang
nutzerorientiert	menschzentriert; nutzungsfreundlich; nutzungsorientiert
Nutzerzufriedenheit	Zufriedenheit mit der Nutzung; Bedienzufriedenheit
Oberarzt	ärztliche Führungskraft; fachärztliche Leitung
Oberbürgermeister	Stadtoberhaupt
Obmann	Obmensch; schiedsrichtende Person
Okapi	Tier
Ökonom	ökonomisch ausgebildete Person
Ökonomen	ökonomisch Ausgebildete
Ombudsmann	Ombudsperson
Opfer	[als Neutrum ist dieses Wort schon gendergerecht: DAS Opfer]
Opportunisten	eine die Gelegenheit ergreifende Person
Oppositioneller	Person in der Opposition; Person in den Reihen der Opposition [Anm.: Im Plural schon genderneutral.]
Organisatoren	Organisation; Organisationsteam/-komitee; organisiert von ...; Organisierende
Organspender (pl.)	Organ Spendende; Organ spendende Personen
Orthopädieschuhmacher	schuhherstellende Fachkraft mit orthopädischer Ausrichtung
Orthopädieschuhtechniker	orthopädieschuhtechnische Fachkraft
Orthopädietechniker	orthopädietechnische Fachkraft; technische Fachkraft für Othopädie
Otto Normalverbraucher	Durchschnittsmensch
Pächter (sg.)	pachtende Person
Pädagoge	pädagogische Fachkraft
Paketbote	Paketzustellung
Parlamentarier (pl.)	Abgeordnete
Papst	Oberhaupt der katholischen Kirche
... Papst [im übertragenen Sinn; z.B. Modepapst]	... Genie; Berühmtheit; Ikone
Parteichef	Parteivorsitz
Partner (sg.)	Gegenüber
Partner (pl.)	Unterstützung; Mitglied; Beteiligte; Kooperationen; Mitwirkende
Partnerarbeit	Zweierarbeit; Paararbeit; Tandemarbeit
... Löst die Aufgabe in Partnerarbeit!	... Löst die Aufgabe zu zweit. / Löst die Aufgabe im Tandem.
Partnerländer	Kooperationsländer
Partnerorganisation	(mit uns) kooperierende Institution
Partnerschaft	Beziehung; Kooperation; Zusammenarbeit; Tandem
Partnersuche	Lebensmenschsuche; Verbündetensuche; Seelenverwandtensuche; Suche nach dem Herzensmensch
Partnerwahl	Wahl eines Lebensmenschen
Passagier	reisende Person
Passagiere	Reisende
Passagierflugzeug	Reiseflugzeug
Passanten	Passierende; Vorbeiziehende; Vorübergehende; zu Fuß Gehende nur sehr eingeschränkt verwendbar, da Menschen, die nicht gehen können (z.B. Menschen im Rollstuhl), ausgeschlossen werden ; einen Ort passierende Personen; den Gehweg nutzende Personen;
Passantenbefragung	Straßenbefragung
Passinhaber	im Besitz eines Passes
Pastor	Geistliche Person der Kirche
Pate	Patenamt; Patenschaft
Pathologe	ärztliche Fachkraft für Pathologie
Patient (sg.)	zu behandelnde Person; kranke Person; zu versorgende Person; (Fach-)Beratung aufsuchende Person; Person, die sich in medizinische Hände begibt;Hilfesuchende Person; stationär aufgenommene Person; die uns anvertraute Person; Person, die medizinische Hilfe benötigt; Pat./Pat* [innerhalb der Dokumentation]
Patienten (pl.)	zu behandelnde Personen; zu Pflegende; Personen, die in (ärztlicher) Behandlung sind; Kranke; Erkrankte; Menschen mit einer Erkrankung; Menschen, die im Krankenhaus liegen; (von einer Krankheit) Betroffene; Behandelte; Hilfesuchende
... Krebspatienten	... von der Krebskrankheit Betroffene; Krebskranke
... Patienten-Arzt-Kommunikation	Kommunikation zwischen behandelnder und behandelter Person; behandlungsbezogene Kommunikation
... Privatpatient	Privatversicherte Person; Person mit privater Krankenversicherung
Patientenaufklärung	Aufklärung; Aufklärungsgespräch; Aufklärung über eine Behandlung
Patientencharakteristik	Betroffenencharakteristik; Erkranktencharakteristik
Patienteninformation	Information; Information für Sie; Informationen für Personen in Behandlung
Patientenkontakt	Betroffenenkontakt
patientennah	Point-of-Care
Patientenschulung [in der Psychologie]	Schulung für Erkrankte
Patientenverfügung	Verfügung(en) für betreute Personen
Patientenversorgung	ärztliche Versorgung; Behandlung; Pflege
Patientenzimmer	Gesundungszimmer; Heilungszimmer; Zimmer
Pazifist	Person, die für Frieden einsteht; friedensengagierte Person; pazifistische Person; friedliebende Person; friedfertige Person
Pazifisten	Friedensbewegte
Pendler (pl.)	Pendelnde
Pendlerpauschale	Entfernungspauschale; Pendelpauschale; Pauschale für Pendelnde; Pauschale für Menschen, die pendeln
Pensionäre	Pensionierte
Performer (pl.)	Performende
Personalentwickler	Personalentwicklung
Personalleiter	Personalleitung
Personalrat	Mitglied des Personalrates
Personalräte	Mitglieder des Personalrates; der Personalrat; Mitarbeitendenvertretung
Personalvertreter (pl.)	Personalvertretung
Pfadfinder (sg.)	Scout; Pfadi
Pfadfinder (pl.)	Pfadis; Pfadfindende
Pfarrer (sg.)	Pfarrperson
Pfleger (sg.)	Pflegekraft
Pfleger (pl.)	Pflegekräfte; Pflegepersonal; die Pflege; Pflegende
Pförtner (sg.)	Pfortenpersonal
Philosoph	gelehrte Person
Philosophen	Gelehrte
Physiker (sg.)	Person mit abgeschlossenem Physikstudium
Physiotherapeut	Physiotherapie praktizierende Person
Pilger (pl.)	Pilgernde; Menschen auf Pilgerschaft
Pilot	flugzeugführende Belegschaft
Pilotlabor	Koordinationslabor; Koordinierungslabor
Pilotphase	Testphase; Probebetrieb
Pilotprojekt	Versuchsvorhaben; Versuchsprojekt; Testphase
Pionier	vorkämpfende Person
Pionierarbeit	wegbereitende Arbeit; bahnbrechende Leistung
Planer (pl.)	planende Personen; planende Institutionen
Platzwart	für den (Sport-)Platz zuständige Person; den Platz betreuende Person; Pflege und Betreuung eines Sportplatzes
Podologe	Fachkraft für Podologie
Poet	lyrikschaffende Person
Politiker (sg.)	Mensch in der Politik; Mitglied der Politik; Polit-Größe; in der Politik tätige Person; Teil der Legislative
Politiker (pl.)	Menschen in der Politik; Menschen, die in der Politik tätig sind; Mitglieder der Politik; Politikschaffende
Polizist	Polizeikraft; Polizei
Polizisten (pl.)	Polizei; Polizeikräfte; Polizeileute
Polsterer	Polsterfachkraft
Postbote	Postzustellung
Powerfrau	Powermensch; gestandene Person
Praktikant (sg.)	eine ein Praktikum absolvierende Person; eine Person im Praktikum; eine sich in einem Praktikum(verhältnis) befindende Person
Praktikanten	Auszubildende im Praktikum
Praktikantenstelle	Praktikumsstelle
Praktiker (pl.)	Praktizierende; Leute aus der Praxis; praktisch veranlagte Menschen
Präsident	Staatsoberhaupt; Vorsitz
Präsidenten (pl.)	Vorsitzende
... die Vereinspräsidenten	... die Vereinsvorsitzenden
Präsidentenwahl	Präsidentschaftswahl
Praxispartner	Praxisbeteiligte; Praxismitbetreibende; Praxisunternehmen; Einrichtung zur praktischen Vertiefung;
Prediger (pl.)	Predigende
Preisträger (sg.)	ausgezeichnete Person
Pressesprecher	Pressevertretung; Öffentlichkeitsarbeit; Pressestelle
Priester	geistliche Person
Proband	Testperson; Versuchsperson
Probanden	Testpersonen; Versuchspersonen; Teilnehmende
Produzent	die Produktionsleitung innehabende Person
Produzenten	Produzierende; Produktionsteam
Professor	eine Professur innehabende Person; Prof.
Professoren	Professorenschaft
Professorenstelle	Professorale Stelle
Programmierer (sg.)	programmierende Person
Programmierer (pl.)	Softwareerstellende; Programmierende
Projektentwickler	Projektentwicklung
Projektleiter (sg.)	Projektleitung
Projektleiter (pl.)	Projektleitungen; Projektleitende
Projektpartner (pl.)	Projektbeteiligte; Projektmitwirkende; am Projekt beteiligte Firmen/Institute/etc.
Projektträger	Projektträgerschaft
Prokurist	Person mit Prokura; bevollmächtigte Person
Prokuristen	Personen mit Prokura; Prokura Innehabende; Prokura Ausübende
Proletarier (pl.)	Lohnabhängige; Werktätige; Arbeitende; Angehörige des Proletariats
Prominenter	prominente Persönlichkeit
Prostituierte	im Sexgewerbe tätige Person; sich prostituierende Person
Protagonist	Figur; Hauptperson; Hauptfigur; zentrale Gestalt; Schlüsselfigur; Titelrolle
Protagonisten	Hauptpersonen; Hauptfiguren; zentrale Gestalten; Schlüsselfiguren; Titelrollen; Aktive
Protokollführer (sg.)	protokollführende Person; Protokollführung
Prüfer (sg.)	Prüfungsleitung; Prüfungsabnahme durch ...; geprüft von ... ; Person, die prüft; prüfende Person
Prüfling	zu prüfende Person
Prüfstatiker (sg.)	Statik prüfende Person
Psychologe	psychologische Fachkraft
Psychologen	psychologische Fachkräfte
Psychotherapeut	psychotherapeutisches Fachpersonal; psychotherapeutische Fachkraft
Putzfrau	Reinigungspersonal; Reinigungskraft; Raumpflege
Querdenker	querdenkende Person; Querkopf
Querdenker-Demo	Querdenken-Demo
Quereinsteiger	quereinsteigende Person; fachfremde Person
Rabbiner (sg.)	Mitglied des Rabbinats
Rabbiner (pl.)	Rabbinat
Radfahrer (pl.)	Rad Fahrende; wer mit dem Rad unterwegs ist ...
... Radfahrer müssen absteigen.	... Fahrräder bitte schieben.
Radiologe	radiologisch-ärztliches Fachpersonal 
Ranger	Bewachung in Schutzgebieten; Gebietsüberwachung
Rassist	rassistische Person
Ratgeber [im Sinne einer Person; nicht Leitfaden]	Wegbegleitung; Beistand; ratgebende/beratende Person
